id,pop,lat,lon,id2,Date,city,Elevation,plus_code,Capture_method,sex,Weiht_rams,body_width,body_circumference,Wing,Tarsus,wingspan,Beak_length,length_body,Colour_Secondary_feathers,Colour_Beak,Colour_Eye_circle,Colour_Back,Colour_Chest
ssn096,South Sharqiyah,21.3783125,58.7399375,164,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,121.31,4,12,20,4,43.5,2,26,white,yellow,yellow,brown_grey,brown_grey
ssn097,South Sharqiyah,21.3783125,58.7399375,165,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,117.86,4,12,20,4,42,2.2,25,white,yellow,yellow,brown_grey,brown_grey
ssn098,South Sharqiyah,21.3783125,58.7399375,166,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,121.17,4,12,20,4,42.5,2.1,26,white,yellow,yellow,brown_grey,brown_grey
ssn108,South Sharqiyah,21.3783125,58.7399375,167,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,98.59,4,11,19.5,4,42,2,24,white,yellow,yellow,brown_grey,brown_grey
ssn109,South Sharqiyah,21.3783125,58.7399375,168,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,105.72,4,12,19,4,41,2,26,white,yellow,yellow,brown_grey,brown_grey
ssn110,South Sharqiyah,21.3783125,58.7399375,169,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Male,106.01,4,12,20,4,43,2.1,23.5,white,yellow,yellow,brown_grey,brown_grey
ssn111,South Sharqiyah,21.3783125,58.7399375,170,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,119.54,4,12,20,4,42.5,2.2,26,white,yellow,yellow,brown_grey,brown_grey
ssn112,South Sharqiyah,21.3783125,58.7399375,171,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,113.38,4,11.5,19.5,3.5,40,2,25,white,yellow,yellow,brown_grey,brown_grey
ssn122,South Sharqiyah,21.3783125,58.7399375,175,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,116.07,4,11,20,4,44,2.1,25.5,white,yellow,yellow,brown_grey,brown_grey
thmm002,Dhofar,18.6170625,54.0468125,311,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,120.47,4,13,20,3.5,42,2,25,white,yellow,yellow,brown_grey,brown_grey
thmm003,Dhofar,18.6170625,54.0468125,312,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,103.82,4,12,20,4,41.5,1.9,25,white,yellow,yellow,brown_grey,brown_grey
thmm004,Dhofar,18.6170625,54.0468125,313,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,110.5,4,12.5,21,4,43,2,24.5,white,yellow,yellow,brown_grey,brown_grey
ssn124,South Sharqiyah,21.3783125,58.7399375,176,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,109.04,4,11,20.5,4,41.5,2,25,white,yellow,yellow,brown_grey,brown_grey
ssn125,South Sharqiyah,21.3783125,58.7399375,177,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,103.57,4,12,19.5,3.5,42,1.9,23,white,yellow,yellow,brown_grey,brown_grey
ssn126,South Sharqiyah,21.3783125,58.7399375,178,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Male,124.88,4,12,21,4,45,2.1,26,white,yellow,yellow,brown_grey,brown_grey
ssn127,South Sharqiyah,21.3783125,58.7399375,179,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Male,106.7,4,11,21.5,4,44,2,25.5,white,yellow,yellow,brown_grey,brown_grey
ssn128,South Sharqiyah,21.3783125,58.7399375,180,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Male,121.66,4,11,21,4,45,2,26,white,yellow,yellow,brown_grey,brown_grey
ssn129,South Sharqiyah,21.3783125,58.7399375,181,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Female,111.41,4,12,19.5,3.5,41.5,2,25,white,yellow,yellow,brown_grey,brown_grey
ssn130,South Sharqiyah,21.3783125,58.7399375,182,1/6/24,Sur,9,7HHW9PHQ+8X,Shoot,Male,116.63,4,11.5,20,4,44,2,26,white,yellow,yellow,brown_grey,brown_grey
thmm001,Dhofar,18.6170625,54.0468125,310,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Female,114.94,4,12.5,20,4,41,2,24,white,yellow,yellow,brown_grey,brown_grey
thmm005,Dhofar,18.6170625,54.0468125,314,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,160.52,4,14,23,4,45,2,26,white,yellow,yellow,brown_grey,brown_grey
thmm014,Dhofar,18.6170625,54.0468125,323,2/22/24,Thumrait,450,7HCPJ28W+RP,Shoot,Male,121.7,4,13,22,4,44,2,26,white,yellow,yellow,brown_grey,brown_grey
